epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,617.655,1.30708,0.92658,1.3491,0.69785,0.65677,0.65938,0.31911,2.00676,1.26293,2.03904,0.00139115,0.00139115,0.00139115
125,622.578,1.32837,0.93326,1.34496,0.67453,0.65677,0.64926,0.31676,1.97773,1.33464,2.0269,0.0013862,0.0013862,0.0013862
126,627.433,1.28793,0.89257,1.30113,0.7376,0.62046,0.66694,0.32816,2.01624,1.3538,2.04487,0.00138125,0.00138125,0.00138125
127,632.341,1.25969,0.90382,1.30087,0.72666,0.61056,0.66176,0.32011,1.99566,1.26819,2.03457,0.0013763,0.0013763,0.0013763
128,637.393,1.31602,0.93471,1.33553,0.66201,0.65347,0.66151,0.32103,1.95019,1.33242,2.00877,0.00137135,0.00137135,0.00137135
129,642.033,1.27784,0.88218,1.29971,0.66076,0.66213,0.65877,0.31261,1.99666,1.30434,2.05842,0.0013664,0.0013664,0.0013664
130,646.626,1.26595,0.87723,1.29067,0.67073,0.69307,0.68601,0.33346,1.96491,1.30754,2.02436,0.00136145,0.00136145,0.00136145
131,651.685,1.25197,0.85122,1.29072,0.75351,0.6457,0.67734,0.31578,2.04033,1.25793,2.11386,0.0013565,0.0013565,0.0013565
132,656.506,1.22064,0.87171,1.28905,0.75324,0.61716,0.67077,0.33173,1.96188,1.2535,2.01096,0.00135155,0.00135155,0.00135155
133,661.2,1.26227,0.85905,1.28114,0.72216,0.67769,0.67571,0.32076,2.00891,1.29676,2.03146,0.0013466,0.0013466,0.0013466
134,666.102,1.25722,0.8864,1.30823,0.69857,0.68317,0.6736,0.32367,1.98627,1.27296,2.01235,0.00134165,0.00134165,0.00134165
135,671.053,1.21803,0.85857,1.26034,0.68896,0.65347,0.64797,0.30364,2.02794,1.29975,2.06774,0.0013367,0.0013367,0.0013367
136,675.859,1.2874,0.89451,1.3027,0.70974,0.63366,0.66069,0.31191,2.00778,1.26977,2.05617,0.00133175,0.00133175,0.00133175
137,680.804,1.26853,0.89208,1.29896,0.75804,0.60066,0.67496,0.32281,2.01163,1.23388,2.05363,0.0013268,0.0013268,0.0013268
138,685.892,1.2713,0.88655,1.29417,0.68451,0.68025,0.67943,0.32403,2.04802,1.30478,2.03168,0.00132185,0.00132185,0.00132185
139,690.717,1.22976,0.88594,1.28297,0.61477,0.70957,0.6638,0.32862,2.00784,1.33569,2.01919,0.0013169,0.0013169,0.0013169
140,695.53,1.27034,0.87867,1.292,0.64908,0.65017,0.66729,0.34154,2.00087,1.36706,2.05541,0.00131195,0.00131195,0.00131195
141,700.615,1.29243,0.90001,1.31978,0.73547,0.58746,0.65477,0.32882,1.95896,1.28527,2.01948,0.001307,0.001307,0.001307
142,705.503,1.22391,0.85825,1.2761,0.66266,0.66337,0.66536,0.32535,1.96444,1.26563,2.00587,0.00130205,0.00130205,0.00130205
143,710.428,1.25654,0.88499,1.30017,0.68123,0.68647,0.65455,0.31313,1.99385,1.25068,2.03599,0.0012971,0.0012971,0.0012971
144,715.526,1.27974,0.9101,1.30368,0.72014,0.62706,0.66722,0.33196,1.99657,1.30133,2.03747,0.00129215,0.00129215,0.00129215
145,720.399,1.2537,0.87011,1.27908,0.74008,0.63366,0.66149,0.31617,2.01167,1.23312,2.06357,0.0012872,0.0012872,0.0012872
146,725.227,1.22477,0.86188,1.2887,0.73893,0.64686,0.68204,0.33256,1.92863,1.19068,1.99128,0.00128225,0.00128225,0.00128225
147,730.101,1.24829,0.84425,1.2843,0.74248,0.64686,0.66779,0.32793,2.02064,1.21942,2.09855,0.0012773,0.0012773,0.0012773
148,735.078,1.25002,0.86332,1.31028,0.71514,0.65017,0.6535,0.31486,2.0514,1.19941,2.1178,0.00127235,0.00127235,0.00127235
149,739.949,1.22142,0.84444,1.25113,0.6632,0.69536,0.66416,0.32938,2.03424,1.25774,2.09349,0.0012674,0.0012674,0.0012674
150,744.786,1.23139,0.87218,1.26834,0.66523,0.66997,0.66369,0.30761,2.09755,1.26909,2.16213,0.00126245,0.00126245,0.00126245
151,749.844,1.2464,0.86104,1.296,0.70884,0.6428,0.65253,0.31822,2.03753,1.28803,2.10804,0.0012575,0.0012575,0.0012575
152,754.726,1.21396,0.8712,1.27502,0.72251,0.63696,0.66433,0.33053,1.97515,1.31254,2.02541,0.00125255,0.00125255,0.00125255
153,759.388,1.20943,0.83175,1.27462,0.66547,0.65652,0.66137,0.31629,2.0305,1.25075,2.0874,0.0012476,0.0012476,0.0012476
154,764.346,1.19904,0.80782,1.24849,0.6625,0.67375,0.66059,0.3234,2.01931,1.25189,2.10182,0.00124265,0.00124265,0.00124265
155,769.261,1.21787,0.83975,1.25925,0.67508,0.69637,0.65177,0.30741,2.02814,1.27386,2.10467,0.0012377,0.0012377,0.0012377
156,774.109,1.21264,0.83911,1.25675,0.72339,0.63005,0.66227,0.32525,2.01646,1.27915,2.06755,0.00123275,0.00123275,0.00123275
157,778.966,1.18242,0.80241,1.23673,0.62954,0.72349,0.66423,0.32987,2.00328,1.35545,2.0716,0.0012278,0.0012278,0.0012278
158,784.091,1.2094,0.81076,1.25311,0.70314,0.62376,0.64803,0.31769,2.0475,1.31038,2.14518,0.00122285,0.00122285,0.00122285
159,789.244,1.18731,0.79927,1.24651,0.71772,0.64613,0.66659,0.32254,2.02578,1.34771,2.11784,0.0012179,0.0012179,0.0012179
160,794.108,1.18657,0.8184,1.25499,0.72402,0.63696,0.66188,0.31733,2.06939,1.33824,2.12235,0.00121295,0.00121295,0.00121295
161,799.063,1.2335,0.8324,1.29172,0.65947,0.64356,0.63801,0.29801,2.05365,1.31874,2.11162,0.001208,0.001208,0.001208
162,804.078,1.18657,0.84264,1.26261,0.65417,0.64356,0.63717,0.31026,2.03794,1.2755,2.07626,0.00120305,0.00120305,0.00120305
163,808.978,1.18197,0.80387,1.24402,0.69047,0.67731,0.67093,0.32903,2.00899,1.27147,2.06868,0.0011981,0.0011981,0.0011981
164,813.892,1.22213,0.82818,1.2654,0.70895,0.65347,0.67123,0.3184,2.04297,1.21226,2.11953,0.00119315,0.00119315,0.00119315
165,818.94,1.17622,0.80546,1.25821,0.69005,0.6466,0.66712,0.32049,2.00996,1.2939,2.07708,0.0011882,0.0011882,0.0011882
166,823.802,1.17724,0.79879,1.23872,0.65384,0.68317,0.65874,0.30593,2.08199,1.24511,2.14588,0.00118325,0.00118325,0.00118325
167,828.622,1.12365,0.77679,1.20563,0.67909,0.69143,0.67756,0.32028,2.01406,1.28435,2.07762,0.0011783,0.0011783,0.0011783
168,833.632,1.18769,0.80377,1.25535,0.67258,0.65017,0.64979,0.32193,2.05422,1.33213,2.13649,0.00117335,0.00117335,0.00117335
169,838.487,1.15996,0.80819,1.2485,0.67021,0.65347,0.6458,0.31331,2.07631,1.30525,2.17138,0.0011684,0.0011684,0.0011684
170,843.132,1.18176,0.81986,1.24752,0.69234,0.68329,0.6721,0.3168,2.02664,1.22149,2.1085,0.00116345,0.00116345,0.00116345
171,848.011,1.16434,0.79105,1.23987,0.72342,0.63696,0.66957,0.31375,2.03762,1.2395,2.09947,0.0011585,0.0011585,0.0011585
172,852.856,1.19421,0.82066,1.23951,0.69162,0.65017,0.67003,0.312,2.04844,1.22888,2.14819,0.00115355,0.00115355,0.00115355
173,857.59,1.17715,0.80636,1.26197,0.67702,0.68489,0.65949,0.3153,2.06972,1.22404,2.19709,0.0011486,0.0011486,0.0011486
174,862.369,1.14667,0.78132,1.22714,0.69274,0.66997,0.66057,0.30901,2.064,1.25143,2.22066,0.00114365,0.00114365,0.00114365
175,867.445,1.15382,0.79857,1.23283,0.68455,0.67657,0.66891,0.31049,2.03954,1.30821,2.14694,0.0011387,0.0011387,0.0011387
176,872.162,1.1474,0.79273,1.24256,0.60085,0.68064,0.63947,0.30515,2.05295,1.29016,2.1635,0.00113375,0.00113375,0.00113375
177,877.025,1.13285,0.75835,1.22545,0.64241,0.66405,0.65046,0.31508,2.10502,1.32025,2.22611,0.0011288,0.0011288,0.0011288
178,882.054,1.168,0.79776,1.24114,0.6384,0.67006,0.65455,0.31615,2.07686,1.38526,2.17822,0.00112385,0.00112385,0.00112385
179,886.857,1.1588,0.79113,1.2349,0.63305,0.67987,0.6555,0.31008,2.03949,1.34237,2.11834,0.0011189,0.0011189,0.0011189
180,891.722,1.133,0.74971,1.21235,0.70108,0.66568,0.66097,0.30788,2.08489,1.32495,2.17554,0.00111395,0.00111395,0.00111395
181,896.758,1.14406,0.76256,1.23595,0.69815,0.67327,0.66429,0.30723,2.05676,1.25769,2.12001,0.001109,0.001109,0.001109
182,901.808,1.1048,0.75475,1.19645,0.73281,0.65017,0.67072,0.31942,2.04758,1.2256,2.13923,0.00110405,0.00110405,0.00110405
183,906.652,1.1025,0.77133,1.21611,0.71328,0.64686,0.66815,0.31514,2.09313,1.35408,2.20212,0.0010991,0.0010991,0.0010991
