epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,763.687,1.09128,0.69365,1.25014,0.93526,0.92392,0.95929,0.62975,1.29497,0.59243,1.57274,0.00151985,0.00151985,0.00151985
99,771.358,1.08151,0.69299,1.25289,0.93632,0.96512,0.94835,0.63782,1.22938,0.57743,1.46932,0.0015149,0.0015149,0.0015149
100,779.048,1.10716,0.69561,1.26303,0.94444,0.94186,0.97119,0.64629,1.27079,0.5993,1.51883,0.00150995,0.00150995,0.00150995
101,786.739,1.09826,0.68497,1.26567,0.93959,0.94186,0.96077,0.64428,1.2366,0.57846,1.52923,0.001505,0.001505,0.001505
102,794.336,1.09013,0.69657,1.25172,0.94284,0.94186,0.96261,0.64981,1.21829,0.56696,1.47268,0.00150005,0.00150005,0.00150005
103,802.293,1.10728,0.68884,1.26284,0.92805,0.97484,0.96415,0.6371,1.25379,0.57171,1.49474,0.0014951,0.0014951,0.0014951
104,809.797,1.07759,0.67829,1.24486,0.93712,0.9593,0.96558,0.64663,1.23627,0.57179,1.48337,0.00149015,0.00149015,0.00149015
105,817.601,1.13963,0.69961,1.28048,0.95926,0.94186,0.96594,0.64105,1.20541,0.56714,1.43257,0.0014852,0.0014852,0.0014852
106,825.049,1.10974,0.69895,1.25403,0.94079,0.92385,0.96452,0.63221,1.29431,0.59229,1.52157,0.00148025,0.00148025,0.00148025
107,832.868,1.11948,0.71945,1.26113,0.94483,0.9593,0.97437,0.63866,1.26578,0.57487,1.50592,0.0014753,0.0014753,0.0014753
108,840.352,1.05806,0.68368,1.2313,0.95223,0.9593,0.96255,0.64242,1.22055,0.57813,1.47788,0.00147035,0.00147035,0.00147035
109,848.209,1.04951,0.66197,1.22124,0.9374,0.97093,0.96852,0.65286,1.21567,0.55663,1.49891,0.0014654,0.0014654,0.0014654
110,855.621,1.05981,0.65064,1.22431,0.95806,0.94186,0.95454,0.64951,1.22186,0.568,1.50133,0.00146045,0.00146045,0.00146045
111,863.36,1.09571,0.67866,1.2593,0.91711,0.97093,0.95784,0.6474,1.22075,0.56368,1.4764,0.0014555,0.0014555,0.0014555
