                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.2334,                0.89084,                  1.185,                0.82479,                0.81263,                0.87673,                0.56071,                 1.3961,                 0.9385,                 1.3516,              0.0014159,              0.0014159,              0.0014159
                    120,                 1.2228,                 0.8632,                 1.1846,                0.85095,                0.82077,                0.88111,                0.58115,                 1.3303,                0.87679,                 1.3336,               0.001411,               0.001411,               0.001411
                    121,                 1.2426,                 0.9021,                  1.198,                0.87244,                0.83707,                0.87208,                  0.585,                 1.3512,                 0.8801,                 1.3697,               0.001406,               0.001406,               0.001406
                    122,                 1.2036,                0.83902,                 1.1866,                0.87214,                0.86134,                0.88914,                0.60804,                 1.2862,                0.83907,                 1.3144,              0.0014011,              0.0014011,              0.0014011
                    123,                 1.1918,                0.82604,                 1.1656,                0.87047,                0.85336,                0.88275,                0.59467,                 1.3247,                0.85779,                 1.3261,              0.0013961,              0.0013961,              0.0013961
                    124,                 1.2075,                0.85464,                 1.2008,                0.88923,                0.80118,                 0.8737,                0.57928,                 1.3362,                0.91001,                 1.3383,              0.0013912,              0.0013912,              0.0013912
                    125,                 1.2198,                0.84278,                 1.1641,                0.89554,                0.82064,                0.87378,                0.58485,                 1.3291,                0.91711,                 1.3267,              0.0013862,              0.0013862,              0.0013862
                    126,                 1.2043,                0.83566,                 1.1602,                0.88294,                0.80244,                 0.8741,                0.58207,                 1.3344,                0.89349,                  1.326,              0.0013813,              0.0013813,              0.0013813
                    127,                 1.2079,                0.85483,                  1.177,                0.86148,                0.82688,                0.87325,                0.58932,                 1.3218,                0.90076,                 1.3228,              0.0013763,              0.0013763,              0.0013763
                    128,                 1.2411,                0.83806,                 1.1885,                0.88096,                0.81387,                0.87763,                0.58475,                 1.3248,                0.90748,                 1.3328,              0.0013714,              0.0013714,              0.0013714
                    129,                 1.2391,                0.88613,                 1.1922,                 0.8388,                0.75967,                0.82118,                0.51801,                 1.4938,                  1.084,                  1.443,              0.0013664,              0.0013664,              0.0013664
                    130,                 1.2037,                0.84676,                 1.1773,                 0.8441,                0.82077,                0.86712,                0.56551,                 1.3809,                0.91603,                 1.3438,              0.0013615,              0.0013615,              0.0013615
                    131,                  1.189,                0.81683,                 1.1618,                0.88369,                0.83563,                0.87322,                0.59814,                 1.2906,                 0.8886,                  1.316,              0.0013565,              0.0013565,              0.0013565
                    132,                 1.1494,                0.79879,                 1.1432,                0.87567,                  0.832,                0.87676,                 0.5982,                 1.3114,                0.86237,                  1.332,              0.0013515,              0.0013515,              0.0013515
                    133,                 1.1439,                0.78484,                 1.1359,                0.86939,                0.84318,                0.87888,                0.59416,                 1.3158,                0.89099,                 1.3344,              0.0013466,              0.0013466,              0.0013466
                    134,                 1.1439,                0.81168,                 1.1421,                0.88363,                0.80421,                0.87665,                  0.607,                 1.2915,                0.87915,                 1.3275,              0.0013417,              0.0013417,              0.0013417
                    135,                 1.1213,                0.80125,                 1.1388,                0.88237,                0.84725,                0.89067,                0.62217,                 1.2508,                0.84943,                  1.297,              0.0013367,              0.0013367,              0.0013367
                    136,                 1.1355,                0.79048,                 1.1414,                 0.8479,                0.84114,                 0.8793,                0.59312,                 1.3236,                 0.8794,                 1.3407,              0.0013318,              0.0013318,              0.0013318
                    137,                 1.1387,                0.78386,                 1.1394,                0.89151,                0.83685,                0.88693,                 0.6237,                 1.2372,                0.83754,                 1.2912,              0.0013268,              0.0013268,              0.0013268
                    138,                 1.1493,                0.78337,                 1.1518,                0.89552,                0.80304,                0.86785,                0.58647,                 1.3264,                0.91951,                 1.3271,              0.0013219,              0.0013219,              0.0013219
                    139,                 1.1953,                0.81335,                 1.1623,                0.89795,                 0.8391,                0.88965,                0.61848,                  1.251,                0.87422,                 1.3032,              0.0013169,              0.0013169,              0.0013169
                    140,                 1.1897,                0.80587,                 1.1546,                0.91532,                0.84318,                0.90367,                0.63192,                  1.234,                0.83011,                 1.2951,               0.001312,               0.001312,               0.001312
                    141,                 1.1641,                0.78529,                 1.1413,                0.90454,                0.82981,                0.89274,                0.62278,                 1.2438,                0.83191,                 1.2917,               0.001307,               0.001307,               0.001307
                    142,                 1.1607,                0.79301,                  1.145,                0.88402,                0.84725,                0.89469,                0.62548,                  1.247,                 0.8533,                 1.3007,               0.001302,               0.001302,               0.001302
                    143,                 1.1014,                 0.7524,                 1.1121,                0.88978,                0.83853,                0.88566,                0.61579,                 1.2261,                0.86317,                 1.2976,              0.0012971,              0.0012971,              0.0012971
                    144,                 1.1291,                0.78282,                 1.1466,                0.92079,                0.81874,                 0.8853,                0.61167,                 1.2925,                 0.8493,                 1.3356,              0.0012922,              0.0012922,              0.0012922
                    145,                 1.1173,                0.76495,                 1.1304,                0.91754,                0.83854,                0.88853,                0.62652,                 1.2511,                  0.819,                  1.304,              0.0012872,              0.0012872,              0.0012872
                    146,                 1.1114,                0.76344,                  1.127,                0.89065,                 0.8391,                0.89001,                0.62241,                 1.2503,                0.82311,                 1.3115,              0.0012822,              0.0012822,              0.0012822
                    147,                 1.1075,                0.76789,                 1.1331,                    0.9,                0.84929,                0.88909,                0.63934,                 1.2154,                0.81877,                 1.2862,              0.0012773,              0.0012773,              0.0012773
                    148,                 1.1532,                0.77804,                 1.1382,                  0.903,                0.82892,                0.88508,                0.63115,                 1.2506,                0.81933,                 1.3225,              0.0012724,              0.0012724,              0.0012724
                    149,                 1.1053,                0.74656,                 1.1213,                0.91213,                0.83096,                0.89434,                 0.6382,                 1.2253,                0.85131,                 1.2894,              0.0012674,              0.0012674,              0.0012674
