epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,453.325,1.57873,1.54904,1.65115,0.63769,0.66514,0.66452,0.31132,1.75257,1.47075,1.87937,0.0015743,0.0015743,0.0015743
88,458.179,1.54045,1.50877,1.60325,0.51489,0.65698,0.61754,0.28698,1.7133,1.52613,1.85164,0.00156935,0.00156935,0.00156935
89,463.406,1.57944,1.51893,1.61369,0.60714,0.6686,0.66972,0.30342,1.75103,1.49799,1.868,0.0015644,0.0015644,0.0015644
90,468.772,1.53057,1.50173,1.60712,0.60297,0.67107,0.66875,0.3263,1.69499,1.43723,1.8454,0.00155945,0.00155945,0.00155945
91,473.957,1.54656,1.46386,1.57989,0.6744,0.65116,0.69977,0.34164,1.70894,1.38484,1.85333,0.0015545,0.0015545,0.0015545
92,479.106,1.54652,1.52298,1.58452,0.68388,0.58721,0.69046,0.32574,1.70058,1.40661,1.8319,0.00154955,0.00154955,0.00154955
93,484.289,1.58537,1.48702,1.62236,0.61624,0.70953,0.6871,0.31746,1.70315,1.45049,1.83087,0.0015446,0.0015446,0.0015446
94,489.395,1.5468,1.52809,1.60628,0.78473,0.65702,0.74039,0.32249,1.74229,1.41909,1.87813,0.00153965,0.00153965,0.00153965
95,494.547,1.57042,1.49926,1.60026,0.65378,0.65116,0.64592,0.31043,1.74107,1.44965,1.86727,0.0015347,0.0015347,0.0015347
96,499.824,1.53868,1.52561,1.60113,0.70928,0.60993,0.66438,0.31983,1.69163,1.45557,1.81473,0.00152975,0.00152975,0.00152975
97,504.897,1.57893,1.5185,1.59251,0.60123,0.58731,0.62706,0.2909,1.76025,1.49852,1.87008,0.0015248,0.0015248,0.0015248
98,509.953,1.5509,1.52068,1.5905,0.69778,0.62209,0.64904,0.30828,1.70058,1.49106,1.84655,0.00151985,0.00151985,0.00151985
99,515.164,1.54378,1.50447,1.60506,0.70146,0.67442,0.68198,0.3303,1.68314,1.41818,1.81944,0.0015149,0.0015149,0.0015149
100,520.315,1.57668,1.47215,1.62268,0.70636,0.72093,0.71378,0.32741,1.7283,1.37961,1.86942,0.00150995,0.00150995,0.00150995
101,525.277,1.56564,1.48972,1.61994,0.65992,0.73256,0.71278,0.32894,1.74341,1.33688,1.86852,0.001505,0.001505,0.001505
102,530.401,1.56293,1.46364,1.61964,0.71006,0.69767,0.71911,0.33982,1.75208,1.39599,1.85182,0.00150005,0.00150005,0.00150005
103,535.625,1.57764,1.49067,1.57925,0.67217,0.69186,0.7116,0.32548,1.76796,1.34784,1.88617,0.0014951,0.0014951,0.0014951
104,540.73,1.57321,1.47806,1.58436,0.73836,0.71512,0.70712,0.32542,1.73327,1.39135,1.87801,0.00149015,0.00149015,0.00149015
105,545.765,1.53811,1.46541,1.5858,0.705,0.70349,0.70772,0.31505,1.7064,1.39264,1.8328,0.0014852,0.0014852,0.0014852
106,551.019,1.52382,1.42744,1.59113,0.60873,0.68605,0.6563,0.28239,1.75349,1.43189,1.85322,0.00148025,0.00148025,0.00148025
107,555.998,1.54902,1.44635,1.60809,0.74657,0.68605,0.7197,0.32831,1.72943,1.37391,1.89423,0.0014753,0.0014753,0.0014753
108,561.051,1.50757,1.42353,1.55824,0.70168,0.69767,0.70536,0.35141,1.74064,1.38308,1.84546,0.00147035,0.00147035,0.00147035
109,566.325,1.49974,1.40603,1.5345,0.7678,0.65698,0.72266,0.34405,1.71018,1.34965,1.81083,0.0014654,0.0014654,0.0014654
110,571.403,1.52508,1.43644,1.57436,0.63062,0.70349,0.69274,0.33932,1.7014,1.34627,1.85951,0.00146045,0.00146045,0.00146045
111,576.456,1.50723,1.40713,1.54016,0.63642,0.69767,0.67292,0.31181,1.71864,1.3421,1.88678,0.0014555,0.0014555,0.0014555
112,581.742,1.51899,1.42966,1.57923,0.66293,0.65116,0.65592,0.32015,1.66917,1.36815,1.82905,0.00145055,0.00145055,0.00145055
113,586.806,1.49406,1.39528,1.54505,0.65275,0.71512,0.73264,0.35109,1.69279,1.34393,1.81453,0.0014456,0.0014456,0.0014456
114,591.896,1.46796,1.37812,1.52585,0.69477,0.69767,0.735,0.34305,1.67978,1.29293,1.82603,0.00144065,0.00144065,0.00144065
115,597.156,1.52187,1.3583,1.5581,0.70455,0.6686,0.71246,0.33904,1.73732,1.32388,1.86554,0.0014357,0.0014357,0.0014357
116,602.328,1.50667,1.43454,1.56739,0.72124,0.63953,0.69115,0.31796,1.74488,1.38114,1.94859,0.00143075,0.00143075,0.00143075
117,607.409,1.52422,1.45679,1.60228,0.71511,0.68605,0.69874,0.33971,1.69828,1.33594,1.88387,0.0014258,0.0014258,0.0014258
118,612.556,1.48863,1.41481,1.52772,0.67845,0.71149,0.71964,0.35431,1.67221,1.29188,1.83086,0.00142085,0.00142085,0.00142085
119,617.763,1.52543,1.36292,1.57789,0.66331,0.69767,0.71261,0.32223,1.75141,1.37148,1.8915,0.0014159,0.0014159,0.0014159
120,622.671,1.49142,1.4043,1.54141,0.69647,0.71512,0.70527,0.33514,1.73931,1.32541,1.9155,0.00141095,0.00141095,0.00141095
